"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207","getItemList","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","getItemList"
"","3671","admin login","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","adminLogin"
"","289","editUserInfoTest","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","editUserInfoTest"
"","224","getUserById","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","getUserById"
"","551","getUserList","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","getUserList"
"","1349","createUser","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","createUser"
"","5087","addItem","Default Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","RestAssuredAPI_integrationTesting","testrunner.TestRunner","addItem"
"","301","userLogin","Daily finance Regression Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","Daily finance Regression Flow","testrunner.TestRunner","userLogin"
"","3755","editItem","Default Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","RestAssuredAPI_integrationTesting","testrunner.TestRunner","editItem"
"","3381","deleteItem","Default Suite","2025-10-30","passed","2025-10-30","testrunner.TestRunner","RestAssuredAPI_integrationTesting","testrunner.TestRunner","deleteItem"
